;Abgeordnete;Partei;Vorname;Nachname;E-Mail;Wahlkreis;PLZ
563;Roger Beckamp;AfD;Roger;Beckamp;roger.beckamp@bundestag.de;Rhein-Sieg-Kreis II;['53332', '53340', '53343', '53347', '53359', '53604', '53639', '53757', '53913', '56369']
564;Norbert Röttgen;CDU/CSU (CDU);Norbert;Röttgen;norbert.röttgen@bundestag.de;Rhein-Sieg-Kreis II;['53332', '53340', '53343', '53347', '53359', '53604', '53639', '53757', '53913', '56369']
565;Nicole Westig;FDP;Nicole;Westig;nicole.westig@bundestag.de;Rhein-Sieg-Kreis II;['53332', '53340', '53343', '53347', '53359', '53604', '53639', '53757', '53913', '56369']
566;Alexander Müller;FDP;Alexander;Müller;alexander.müller@bundestag.de;Rheingau-Taunus – Limburg;['65232', '65307', '65321', '65326', '65329', '65343', '65344', '65345', '65346', '65347', '65366', '65375', '65385', '65388', '65391', '65396', '65399', '65510', '65520', '65527', '65529', '65549', '65550', '65551', '65552', '65553', '65554', '65555', '65556', '65589', '65597', '65599', '65604', '65611', '65618', '65620', '65627']
567;Anna Lührmann;Grüne;Anna;Lührmann;anna.lührmann@bundestag.de;Rheingau-Taunus – Limburg;['65232', '65307', '65321', '65326', '65329', '65343', '65344', '65345', '65346', '65347', '65366', '65375', '65385', '65388', '65391', '65396', '65399', '65510', '65520', '65527', '65529', '65549', '65550', '65551', '65552', '65553', '65554', '65555', '65556', '65589', '65597', '65599', '65604', '65611', '65618', '65620', '65627']
568;Klaus-Peter Willsch;CDU/CSU (CDU);Klaus-Peter;Willsch;klaus-peter.willsch@bundestag.de;Rheingau-Taunus – Limburg;['65232', '65307', '65321', '65326', '65329', '65343', '65344', '65345', '65346', '65347', '65366', '65375', '65385', '65388', '65391', '65396', '65399', '65510', '65520', '65527', '65529', '65549', '65550', '65551', '65552', '65553', '65554', '65555', '65556', '65589', '65597', '65599', '65604', '65611', '65618', '65620', '65627']
569;Christian Lindner;FDP;Christian;Lindner;christian.lindner@bundestag.de;Rheinisch-Bergischer Kreis;['42799', '42929', '51399', '51427', '51429', '51465', '51467', '51469', '51491', '51503', '51515', '51519']
570;Maik Außendorf;Grüne;Maik;Außendorf;maik.außendorf@bundestag.de;Rheinisch-Bergischer Kreis;['42799', '42929', '51399', '51427', '51429', '51465', '51467', '51469', '51491', '51503', '51515', '51519']
571;Harald Weyel;AfD;Harald;Weyel;harald.weyel@bundestag.de;Rheinisch-Bergischer Kreis;['42799', '42929', '51399', '51427', '51429', '51465', '51467', '51469', '51491', '51503', '51515', '51519']
572;Hermann-Josef Tebroke;CDU/CSU (CDU);Hermann-Josef;Tebroke;hermann-josef.tebroke@bundestag.de;Rheinisch-Bergischer Kreis;['42799', '42929', '51399', '51427', '51429', '51465', '51467', '51469', '51491', '51503', '51515', '51519']
573;Ates Gürpinar;Linke;Ates;Gürpinar;ates.gürpinar@bundestag.de;Rosenheim;['83022', '83024', '83026', '83043', '83052', '83059', '83064', '83071', '83075', '83080', '83083', '83088', '83093', '83098', '83101', '83104', '83109', '83112', '83115', '83122', '83123', '83125', '83126', '83128', '83129', '83131', '83134', '83135', '83137', '83139', '83209', '83229', '83233', '83253', '83254', '83256', '83257', '83512', '83533', '83539', '83543', '83544', '83547', '83549', '83552', '83556', '83561', '83564', '83569', '83620']
574;Daniela Ludwig;CDU/CSU (CSU);Daniela;Ludwig;daniela.ludwig@bundestag.de;Rosenheim;['83022', '83024', '83026', '83043', '83052', '83059', '83064', '83071', '83075', '83080', '83083', '83088', '83093', '83098', '83101', '83104', '83109', '83112', '83115', '83122', '83123', '83125', '83126', '83128', '83129', '83131', '83134', '83135', '83137', '83139', '83209', '83229', '83233', '83253', '83254', '83256', '83257', '83512', '83533', '83539', '83543', '83544', '83547', '83549', '83552', '83556', '83561', '83564', '83569', '83620']
575;Dietmar Bartsch;Linke;Dietmar;Bartsch;dietmar.bartsch@bundestag.de;Rostock – Landkreis Rostock II;['18055', '18057', '18059', '18069', '18106', '18107', '18109', '18119', '18146', '18147', '18181', '18182', '18184', '18190', '18195', '18196', '18198', '18258']
576;Hagen Reinhold;FDP;Hagen;Reinhold;hagen.reinhold@bundestag.de;Rostock – Landkreis Rostock II;['18055', '18057', '18059', '18069', '18106', '18107', '18109', '18119', '18146', '18147', '18181', '18182', '18184', '18190', '18195', '18196', '18198', '18258']
577;Katrin Zschau;SPD;Katrin;Zschau;katrin.zschau@bundestag.de;Rostock – Landkreis Rostock II;['18055', '18057', '18059', '18069', '18106', '18107', '18109', '18119', '18146', '18147', '18181', '18182', '18184', '18190', '18195', '18196', '18198', '18258']
578;Lars Klingbeil;SPD;Lars;Klingbeil;lars.klingbeil@bundestag.de;Rotenburg I – Heidekreis;['27336', '27356', '27367', '27374', '27383', '27386', '27389', '29614', '29633', '29640', '29643', '29646', '29649', '29664', '29683', '29690', '29693', '29699']
579;Kristine Lütke;FDP;Kristine;Lütke;kristine.lütke@bundestag.de;Roth;['90518', '90530', '90537', '90552', '90559', '90571', '90584', '90592', '90596', '90607', '90610', '91126', '91126', '91154', '91161', '91166', '91171', '91174', '91177', '91180', '91183', '91186', '91187', '91189', '91207', '91217', '91220', '91224', '91227', '91230', '91233', '91235', '91236', '91238', '91239', '91241', '91242', '91244', '91245', '91247', '91284']
580;Ralph Edelhäußer;CDU/CSU (CSU);Ralph;Edelhäußer;ralph.edelhäußer@bundestag.de;Roth;['90518', '90530', '90537', '90552', '90559', '90571', '90584', '90592', '90596', '90607', '90610', '91126', '91126', '91154', '91161', '91166', '91171', '91174', '91177', '91180', '91183', '91186', '91187', '91189', '91207', '91217', '91220', '91224', '91227', '91230', '91233', '91235', '91236', '91238', '91239', '91241', '91242', '91244', '91245', '91247', '91284']
581;Jan Plobner;SPD;Jan;Plobner;jan.plobner@bundestag.de;Roth;['90518', '90530', '90537', '90552', '90559', '90571', '90584', '90592', '90596', '90607', '90610', '91126', '91126', '91154', '91161', '91166', '91171', '91174', '91177', '91180', '91183', '91186', '91187', '91189', '91207', '91217', '91220', '91224', '91227', '91230', '91233', '91235', '91236', '91238', '91239', '91241', '91242', '91244', '91245', '91247', '91284']
582;Max Straubinger;CDU/CSU (CSU);Max;Straubinger;max.straubinger@bundestag.de;Rottal-Inn;['84130', '84140', '84152', '84160', '84163', '84164', '84177', '84180', '84183', '84307', '84323', '84326', '84329', '84332', '84333', '84335', '84337', '84339', '84347', '84359', '84364', '84367', '84371', '84375', '84378', '84381', '84384', '84385', '84387', '84389', '84552', '94137', '94140', '94166', '94405', '94419', '94424', '94428', '94431', '94436', '94437', '94439', '94522']
583;Stephan Protschka;AfD;Stephan;Protschka;stephan.protschka@bundestag.de;Rottal-Inn;['84130', '84140', '84152', '84160', '84163', '84164', '84177', '84180', '84183', '84307', '84323', '84326', '84329', '84332', '84333', '84335', '84337', '84339', '84347', '84359', '84364', '84367', '84371', '84375', '84378', '84381', '84384', '84385', '84387', '84389', '84552', '94137', '94140', '94166', '94405', '94419', '94424', '94428', '94431', '94436', '94437', '94439', '94522']
584;Marlene Schönberger;Grüne;Marlene;Schönberger;marlene.schönberger@bundestag.de;Rottal-Inn;['84130', '84140', '84152', '84160', '84163', '84164', '84177', '84180', '84183', '84307', '84323', '84326', '84329', '84332', '84333', '84335', '84337', '84339', '84347', '84359', '84364', '84367', '84371', '84375', '84378', '84381', '84384', '84385', '84387', '84389', '84552', '94137', '94140', '94166', '94405', '94419', '94424', '94428', '94431', '94436', '94437', '94439', '94522']
585;Maria-Lena Weiss;CDU/CSU (CDU);Maria-Lena;Weiss;maria-lena.weiss@bundestag.de;Rottweil – Tuttlingen;['72172', '72175', '72189', '77761', '77773', '78144', '78187', '78194', '78532', '78549', '78554', '78559', '78564', '78567', '78570', '78573', '78576', '78579', '78580', '78582', '78583', '78585', '78586', '78588', '78589', '78591', '78592', '78594', '78595', '78597', '78598', '78600', '78601', '78603', '78604', '78606', '78607', '78628', '78647', '78652', '78655', '78658', '78661', '78662', '78664', '78665', '78667', '78669', '78713', '78727', '78730', '78733', '78736', '78737', '78739', '88637']
586;Michael Kaufmann;AfD;Michael;Kaufmann;michael.kaufmann@bundestag.de;Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis;['07318', '07330', '07333', '07334', '07338', '07343', '07349', '07356', '07366', '07368', '07381', '07387', '07389', '07407', '07422', '07426', '07427', '07429', '07806', '07819', '07907', '07919', '07922', '07924', '07926', '07927', '07929', '96515', '96523', '96524', '96528', '96529', '98724', '98739', '98743', '98744', '98746', '98749']
587;Reginald Hanke;FDP;Reginald;Hanke;reginald.hanke@bundestag.de;Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis;['07318', '07330', '07333', '07334', '07338', '07343', '07349', '07356', '07366', '07368', '07381', '07387', '07389', '07407', '07422', '07426', '07427', '07429', '07806', '07819', '07907', '07919', '07922', '07924', '07926', '07927', '07929', '96515', '96523', '96524', '96528', '96529', '98724', '98739', '98743', '98744', '98746', '98749']
588;Josephine Ortleb;SPD;Josephine;Ortleb;josephine.ortleb@bundestag.de;Saarbrücken;['66111', '66113', '66115', '66117', '66119', '66121', '66123', '66125', '66127', '66128', '66129', '66130', '66131', '66132', '66133', '66271', '66292', '66333', '66346', '66352']
589;Heiko Maas;SPD;Heiko;Maas;heiko.maas@bundestag.de;Saarlouis;['66359', '66663', '66679', '66687', '66693', '66701', '66706', '66709', '66740', '66763', '66773', '66780', '66787', '66793', '66798', '66802', '66806', '66809']
590;Steffen Janich;AfD;Steffen;Janich;steffen.janich@bundestag.de;Sächsische Schweiz-Osterzgebirge;['01705', '01723', '01728', '01731', '01734', '01737', '01738', '01744', '01762', '01768', '01773', '01774', '01776', '01778', '01796', '01809', '01814', '01816', '01819', '01824', '01825', '01829', '01833', '01844', '01847', '01848', '01855']
591;André Hahn;Linke;André;Hahn;andré.hahn@bundestag.de;Sächsische Schweiz-Osterzgebirge;['01705', '01723', '01728', '01731', '01734', '01737', '01738', '01744', '01762', '01768', '01773', '01774', '01776', '01778', '01796', '01809', '01814', '01816', '01819', '01824', '01825', '01829', '01833', '01844', '01847', '01848', '01855']
592;Fabian Funke;SPD;Fabian;Funke;fabian.funke@bundestag.de;Sächsische Schweiz-Osterzgebirge;['01705', '01723', '01728', '01731', '01734', '01737', '01738', '01744', '01762', '01768', '01773', '01774', '01776', '01778', '01796', '01809', '01814', '01816', '01819', '01824', '01825', '01829', '01833', '01844', '01847', '01848', '01855']
593;Dunja Kreiser;SPD;Dunja;Kreiser;dunja.kreiser@bundestag.de;Salzgitter – Wolfenbüttel;['38162', '38170', '38173', '38226', '38228', '38229', '38239', '38259', '38271', '38272', '38274', '38275', '38277', '38279', '38300', '38302', '38304', '38312', '38315', '38319', '38321', '38322', '38324', '38325', '38327', '38329', '38685', '38704', '38723', '38729']
594;Victor Perli;Linke;Victor;Perli;victor.perli@bundestag.de;Salzgitter – Wolfenbüttel;['38162', '38170', '38173', '38226', '38228', '38229', '38239', '38259', '38271', '38272', '38274', '38275', '38277', '38279', '38300', '38302', '38304', '38312', '38315', '38319', '38321', '38322', '38324', '38325', '38327', '38329', '38685', '38704', '38723', '38729']
595;Christian von Stetten;CDU/CSU (CDU);Christian;von;christian.von@bundestag.de;Schwäbisch Hall – Hohenlohe;['74214', '74238', '74405', '74420', '74423', '74424', '74426', '74427', '74429', '74523', '74532', '74535', '74538', '74541', '74542', '74544', '74545', '74547', '74549', '74564', '74572', '74575', '74579', '74582', '74585', '74586', '74589', '74592', '74594', '74595', '74597', '74599', '74613', '74626', '74629', '74632', '74635', '74638', '74639', '74653', '74670', '74673', '74676', '74677', '74679']
596;Harald Ebner;Grüne;Harald;Ebner;harald.ebner@bundestag.de;Schwäbisch Hall – Hohenlohe;['74214', '74238', '74405', '74420', '74423', '74424', '74426', '74427', '74429', '74523', '74532', '74535', '74538', '74541', '74542', '74544', '74545', '74547', '74549', '74564', '74572', '74575', '74579', '74582', '74585', '74586', '74589', '74592', '74594', '74595', '74597', '74599', '74613', '74626', '74629', '74632', '74635', '74638', '74639', '74653', '74670', '74673', '74676', '74677', '74679']
597;Valentin Abel;FDP;Valentin;Abel;valentin.abel@bundestag.de;Schwäbisch Hall – Hohenlohe;['74214', '74238', '74405', '74420', '74423', '74424', '74426', '74427', '74429', '74523', '74532', '74535', '74538', '74541', '74542', '74544', '74545', '74547', '74549', '74564', '74572', '74575', '74579', '74582', '74585', '74586', '74589', '74592', '74594', '74595', '74597', '74599', '74613', '74626', '74629', '74632', '74635', '74638', '74639', '74653', '74670', '74673', '74676', '74677', '74679']
598;Kevin Leiser;SPD;Kevin;Leiser;kevin.leiser@bundestag.de;Schwäbisch Hall – Hohenlohe;['74214', '74238', '74405', '74420', '74423', '74424', '74426', '74427', '74429', '74523', '74532', '74535', '74538', '74541', '74542', '74544', '74545', '74547', '74549', '74564', '74572', '74575', '74579', '74582', '74585', '74586', '74589', '74592', '74594', '74595', '74597', '74599', '74613', '74626', '74629', '74632', '74635', '74638', '74639', '74653', '74670', '74673', '74676', '74677', '74679']
599;Albrecht Glaser;AfD;Albrecht;Glaser;albrecht.glaser@bundestag.de;Schwalm-Eder;['34212', '34281', '34286', '34295', '34302', '34305', '34323', '34326', '34327', '34516', '34560', '34576', '34582', '34587', '34590', '34593', '34596', '34599', '34613', '34621', '34626', '34628', '34630', '34632', '34633', '34637', '34639', '35066', '35088', '35099', '35108', '35110', '35114', '35116', '35119', '35285', '36280', '59969']
600;Bettina Hoffmann;Grüne;Bettina;Hoffmann;bettina.hoffmann@bundestag.de;Schwalm-Eder;['34212', '34281', '34286', '34295', '34302', '34305', '34323', '34326', '34327', '34516', '34560', '34576', '34582', '34587', '34590', '34593', '34596', '34599', '34613', '34621', '34626', '34628', '34630', '34632', '34633', '34637', '34639', '35066', '35088', '35099', '35108', '35110', '35114', '35116', '35119', '35285', '36280', '59969']
601;Edgar Franke;SPD;Edgar;Franke;edgar.franke@bundestag.de;Schwalm-Eder;['34212', '34281', '34286', '34295', '34302', '34305', '34323', '34326', '34327', '34516', '34560', '34576', '34582', '34587', '34590', '34593', '34596', '34599', '34613', '34621', '34626', '34628', '34630', '34632', '34633', '34637', '34639', '35066', '35088', '35099', '35108', '35110', '35114', '35116', '35119', '35285', '36280', '59969']
602;Marianne Schieder;SPD;Marianne;Schieder;marianne.schieder@bundestag.de;Schwandorf;['92269', '92421', '92431', '92436', '92439', '92442', '92444', '92445', '92447', '92449', '92507', '92521', '92526', '92533', '92536', '92539', '92540', '92542', '92543', '92545', '92546', '92548', '92549', '92551', '92552', '92554', '92555', '92557', '92559', '92723', '93133', '93142', '93149', '93158', '93167', '93185', '93189', '93191', '93192', '93194', '93199', '93413', '93426', '93437', '93444', '93449', '93453', '93455', '93458', '93462', '93464', '93466', '93468', '93470', '93473', '93474', '93476', '93477', '93479', '93480', '93482', '93483', '93485', '93486', '93488', '93489', '93491', '93492', '93494', '93495', '93497', '93499']
603;Martina Englhardt-Kopf;CDU/CSU (CSU);Martina;Englhardt-Kopf;martina.englhardt-kopf@bundestag.de;Schwandorf;['92269', '92421', '92431', '92436', '92439', '92442', '92444', '92445', '92447', '92449', '92507', '92521', '92526', '92533', '92536', '92539', '92540', '92542', '92543', '92545', '92546', '92548', '92549', '92551', '92552', '92554', '92555', '92557', '92559', '92723', '93133', '93142', '93149', '93158', '93167', '93185', '93189', '93191', '93192', '93194', '93199', '93413', '93426', '93437', '93444', '93449', '93453', '93455', '93458', '93462', '93464', '93466', '93468', '93470', '93473', '93474', '93476', '93477', '93479', '93480', '93482', '93483', '93485', '93486', '93488', '93489', '93491', '93492', '93494', '93495', '93497', '93499']
604;Tina Winklmann;Grüne;Tina;Winklmann;tina.winklmann@bundestag.de;Schwandorf;['92269', '92421', '92431', '92436', '92439', '92442', '92444', '92445', '92447', '92449', '92507', '92521', '92526', '92533', '92536', '92539', '92540', '92542', '92543', '92545', '92546', '92548', '92549', '92551', '92552', '92554', '92555', '92557', '92559', '92723', '93133', '93142', '93149', '93158', '93167', '93185', '93189', '93191', '93192', '93194', '93199', '93413', '93426', '93437', '93444', '93449', '93453', '93455', '93458', '93462', '93464', '93466', '93468', '93470', '93473', '93474', '93476', '93477', '93479', '93480', '93482', '93483', '93485', '93486', '93488', '93489', '93491', '93492', '93494', '93495', '93497', '93499']
605;Thorsten Frei;CDU/CSU (CDU);Thorsten;Frei;thorsten.frei@bundestag.de;Schwarzwald-Baar;['77709', '77756', '77793', '78048', '78050', '78052', '78054', '78056', '78073', '78078', '78083', '78086', '78087', '78089', '78098', '78112', '78120', '78126', '78132', '78136', '78141', '78147', '78148', '78166', '78176', '78183', '78199', '78609']
606;Derya Türk-Nachbaur;SPD;Derya;Türk-Nachbaur;derya.türk-nachbaur@bundestag.de;Schwarzwald-Baar;['77709', '77756', '77793', '78048', '78050', '78052', '78054', '78056', '78073', '78078', '78083', '78086', '78087', '78089', '78098', '78112', '78120', '78126', '78132', '78136', '78141', '78147', '78148', '78166', '78176', '78183', '78199', '78609']
607;Klaus Ernst;Linke;Klaus;Ernst;klaus.ernst@bundestag.de;Schweinfurt;['96160', '97318', '97320', '97332', '97334', '97337', '97340', '97342', '97346', '97348', '97350', '97353', '97355', '97357', '97359', '97421', '97422', '97424', '97440', '97447', '97453', '97456', '97464', '97469', '97488', '97490', '97493', '97497', '97499', '97502', '97505', '97506', '97508', '97509', '97511', '97513', '97516', '97520', '97523', '97525', '97526', '97529', '97532', '97534', '97535', '97537']
608;Anja Weisgerber;CDU/CSU (CSU);Anja;Weisgerber;anja.weisgerber@bundestag.de;Schweinfurt;['96160', '97318', '97320', '97332', '97334', '97337', '97340', '97342', '97346', '97348', '97350', '97353', '97355', '97357', '97359', '97421', '97422', '97424', '97440', '97447', '97453', '97456', '97464', '97469', '97488', '97490', '97493', '97497', '97499', '97502', '97505', '97506', '97508', '97509', '97511', '97513', '97516', '97520', '97523', '97525', '97526', '97529', '97532', '97534', '97535', '97537']
609;Markus Hümpfer;SPD;Markus;Hümpfer;markus.hümpfer@bundestag.de;Schweinfurt;['96160', '97318', '97320', '97332', '97334', '97337', '97340', '97342', '97346', '97348', '97350', '97353', '97355', '97357', '97359', '97421', '97422', '97424', '97440', '97447', '97453', '97456', '97464', '97469', '97488', '97490', '97493', '97497', '97499', '97502', '97505', '97506', '97508', '97509', '97511', '97513', '97516', '97520', '97523', '97525', '97526', '97529', '97532', '97534', '97535', '97537']
610;Dietrich Monstadt;CDU/CSU (CDU);Dietrich;Monstadt;dietrich.monstadt@bundestag.de;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;['19053', '19055', '19057', '19059', '19061', '19063', '19069', '19071', '19073', '19075', '19077', '19205', '19209', '19217', '19230', '19243', '19246', '19249', '19258', '19260', '19273', '19273', '19288', '19294', '19300', '19303', '19306', '19357', '19372', '19372', '23923', '23936', '23936', '23942']
611;Ina Latendorf;Linke;Ina;Latendorf;ina.latendorf@bundestag.de;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;['19053', '19055', '19057', '19059', '19061', '19063', '19069', '19071', '19073', '19075', '19077', '19205', '19209', '19217', '19230', '19243', '19246', '19249', '19258', '19260', '19273', '19273', '19288', '19294', '19300', '19303', '19306', '19357', '19372', '19372', '23923', '23936', '23936', '23942']
612;Reem Alabali-Radovan;SPD;Reem;Alabali-Radovan;reem.alabali-radovan@bundestag.de;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;['19053', '19055', '19057', '19059', '19061', '19063', '19069', '19071', '19073', '19075', '19077', '19205', '19209', '19217', '19230', '19243', '19246', '19249', '19258', '19260', '19273', '19273', '19288', '19294', '19300', '19303', '19306', '19357', '19372', '19372', '23923', '23936', '23936', '23942']
613;Gero Storjohann;CDU/CSU (CDU);Gero;Storjohann;gero.storjohann@bundestag.de;Segeberg – Stormarn-Mitte;['22844', '22846', '22848', '22850', '22851', '22889', '22941', '22949', '22961', '22964', '22965', '22967', '23719', '23795', '23812', '23813', '23815', '23816', '23818', '23820', '23821', '23823', '23824', '23826', '23827', '23829', '23843', '23845', '23847', '23847', '23847', '23847', '23863', '23866', '23867', '23869', '24326', '24558', '24568', '24610', '24619', '24619', '24628', '24629', '24632', '24638', '24640', '24641', '24643', '25479', '25486']
614;Bengt Bergt;SPD;Bengt;Bergt;bengt.bergt@bundestag.de;Segeberg – Stormarn-Mitte;['22844', '22846', '22848', '22850', '22851', '22889', '22941', '22949', '22961', '22964', '22965', '22967', '23719', '23795', '23812', '23813', '23815', '23816', '23818', '23820', '23821', '23823', '23824', '23826', '23827', '23829', '23843', '23845', '23847', '23847', '23847', '23847', '23863', '23866', '23867', '23869', '24326', '24558', '24568', '24610', '24619', '24619', '24628', '24629', '24632', '24638', '24640', '24641', '24643', '25479', '25486']
615;Volkmar Klein;CDU/CSU (CDU);Volkmar;Klein;volkmar.klein@bundestag.de;Siegen-Wittgenstein;['57072', '57074', '57076', '57078', '57080', '57223', '57234', '57250', '57258', '57271', '57290', '57299', '57319', '57334', '57339']
616;Laura Kraft;Grüne;Laura;Kraft;laura.kraft@bundestag.de;Siegen-Wittgenstein;['57072', '57074', '57076', '57078', '57080', '57223', '57234', '57250', '57258', '57271', '57290', '57299', '57319', '57334', '57339']
617;Luiza Licina-Bode;SPD;Luiza;Licina-Bode;luiza.licina-bode@bundestag.de;Siegen-Wittgenstein;['57072', '57074', '57076', '57078', '57080', '57223', '57234', '57250', '57258', '57271', '57290', '57299', '57319', '57334', '57339']
618;Hans-Jürgen Thies;CDU/CSU (CDU);Hans-Jürgen;Thies;hans-jürgen.thies@bundestag.de;Soest;['58739', '59457', '59469', '59494', '59505', '59510', '59514', '59519', '59555', '59556', '59557', '59558', '59581', '59590', '59597', '59602', '59609']
619;Wolfgang Hellmich;SPD;Wolfgang;Hellmich;wolfgang.hellmich@bundestag.de;Soest;['58739', '59457', '59469', '59494', '59505', '59510', '59514', '59519', '59555', '59556', '59557', '59558', '59581', '59590', '59597', '59602', '59609']
620;Jürgen Hardt;CDU/CSU (CDU);Jürgen;Hardt;jürgen.hardt@bundestag.de;Solingen – Remscheid – Wuppertal II;['42349', '42369', '42651', '42653', '42655', '42657', '42659', '42697', '42699', '42719', '42853', '42855', '42857', '42859', '42897', '42899']
621;Ingo Schäfer;SPD;Ingo;Schäfer;ingo.schäfer@bundestag.de;Solingen – Remscheid – Wuppertal II;['42349', '42369', '42651', '42653', '42655', '42657', '42659', '42697', '42699', '42719', '42853', '42855', '42857', '42859', '42897', '42899']
622;Nadine Schön;CDU/CSU (CDU);Nadine;Schön;nadine.schön@bundestag.de;St. Wendel;['66265', '66557', '66564', '66571', '66578', '66589', '66606', '66620', '66625', '66629', '66636', '66640', '66646', '66649', '66822', '66839']
623;Oliver Luksic;FDP;Oliver;Luksic;oliver.luksic@bundestag.de;St. Wendel;['66265', '66557', '66564', '66571', '66578', '66589', '66606', '66620', '66625', '66629', '66636', '66640', '66646', '66649', '66822', '66839']
624;Christian Petry;SPD;Christian;Petry;christian.petry@bundestag.de;St. Wendel;['66265', '66557', '66564', '66571', '66578', '66589', '66606', '66620', '66625', '66629', '66636', '66640', '66646', '66649', '66822', '66839']
625;Oliver Grundmann;CDU/CSU (CDU);Oliver;Grundmann;oliver.grundmann@bundestag.de;Stade I – Rotenburg II;['21614', '21635', '21640', '21641', '21643', '21644', '21680', '21682', '21683', '21684', '21698', '21702', '21717', '21720', '21723', '21739', '27404', '27412', '27419', '27432', '27442', '27446', '27449']
626;Adis Ahmetovic;SPD;Adis;Ahmetovic;adis.ahmetovic@bundestag.de;Stadt Hannover I;['30161', '30161', '30161', '30163', '30165', '30175', '30177', '30179', '30419', '30419', '30419', '30419', '30419', '30419', '30419', '30419', '30539', '30559', '30559', '30625', '30627', '30629', '30655', '30657', '30659', '30916']
627;Jörn König;AfD;Jörn;König;jörn.könig@bundestag.de;Stadt Hannover I;['30161', '30161', '30161', '30163', '30165', '30175', '30177', '30179', '30419', '30419', '30419', '30419', '30419', '30419', '30419', '30419', '30539', '30559', '30559', '30625', '30627', '30629', '30655', '30657', '30659', '30916']
628;Swantje Michaelsen;Grüne;Swantje;Michaelsen;swantje.michaelsen@bundestag.de;Stadt Hannover I;['30161', '30161', '30161', '30163', '30165', '30175', '30177', '30179', '30419', '30419', '30419', '30419', '30419', '30419', '30419', '30419', '30539', '30559', '30559', '30625', '30627', '30629', '30655', '30657', '30659', '30916']
629;Sven-Christian Kindler;Grüne;Sven-Christian;Kindler;sven-christian.kindler@bundestag.de;Stadt Hannover II;['30159', '30161', '30167', '30169', '30171', '30173', '30175', '30175', '30419', '30449', '30451', '30453', '30455', '30457', '30459', '30519', '30521', '30559', '30559', '30559']
630;Knut Gerschau;FDP;Knut;Gerschau;knut.gerschau@bundestag.de;Stadt Hannover II;['30159', '30161', '30167', '30169', '30171', '30173', '30175', '30175', '30419', '30449', '30451', '30453', '30455', '30457', '30459', '30519', '30521', '30559', '30559', '30559']
631;Mathias Middelberg;CDU/CSU (CDU);Mathias;Middelberg;mathias.middelberg@bundestag.de;Stadt Osnabrück;['49074', '49076', '49078', '49080', '49082', '49084', '49086', '49088', '49090', '49124', '49134', '49170', '49191', '49205']
632;Heidi Reichinnek;Linke;Heidi;Reichinnek;heidi.reichinnek@bundestag.de;Stadt Osnabrück;['49074', '49076', '49078', '49080', '49082', '49084', '49086', '49088', '49090', '49124', '49134', '49170', '49191', '49205']
633;Manuel Gava;SPD;Manuel;Gava;manuel.gava@bundestag.de;Stadt Osnabrück;['49074', '49076', '49078', '49080', '49082', '49084', '49086', '49088', '49090', '49124', '49134', '49170', '49191', '49205']
634;Michael Kießling;CDU/CSU (CSU);Michael;Kießling;michael.kießling@bundestag.de;Starnberg – Landsberg am Lech;['82057', '82152', '82205', '82211', '82229', '82234', '82237', '82266', '82319', '82327', '82335', '82340', '82343', '82346', '82349', '82431', '82444', '82515', '82538', '82541', '82544', '82547', '82549', '83607', '83623', '83624', '83626', '83627', '83629', '83646', '83661', '83666', '83670', '83671', '83673', '83674', '83676', '83677', '83679', '83684', '83700', '83703', '83707', '83708', '83714', '83727', '83730', '83734', '83735', '83737']
635;Carmen Wegge;SPD;Carmen;Wegge;carmen.wegge@bundestag.de;Starnberg – Landsberg am Lech;['82057', '82152', '82205', '82211', '82229', '82234', '82237', '82266', '82319', '82327', '82335', '82340', '82343', '82346', '82349', '82431', '82444', '82515', '82538', '82541', '82544', '82547', '82549', '83607', '83623', '83624', '83626', '83627', '83629', '83646', '83661', '83666', '83670', '83671', '83673', '83674', '83676', '83677', '83679', '83684', '83700', '83703', '83707', '83708', '83714', '83727', '83730', '83734', '83735', '83737']
636;Wolfgang Kubicki;FDP;Wolfgang;Kubicki;wolfgang.kubicki@bundestag.de;Steinburg – Dithmarschen Süd;['24576', '24613', '24616', '24623', '24632', '24649', '25335', '25335', '25348', '25358', '25361', '25368', '25376', '25377', '25379', '25524', '25541', '25548', '25551', '25554', '25560', '25563', '25566', '25569', '25572', '25573', '25576', '25578', '25579', '25581', '25582', '25584', '25587', '25588', '25591', '25593', '25594', '25596', '25597', '25599', '25693', '25704', '25709', '25712', '25715', '25718', '25719', '25721', '25724', '25725', '25727', '25729', '25767', '25782', '25785', '25785']
